TestID,Epic,JiraKey,Layer,SpecFile,Scenario,TestCase,Status,DurationMs,LastRun
BI-034,Billing & Invoicing,HMS-15,Backend,backend/tests/payments.routes.test.js,Payment Processing API > POST /api/payments/webhook,reconciles a pending payment to succeeded and updates the invoice,Pass,11,2026-08-08T04:36:48.039Z
BI-035,Billing & Invoicing,HMS-15,Backend,backend/tests/payments.routes.test.js,Payment Processing API > POST /api/payments/webhook,reconciles a pending payment to failed without touching the invoice,Pass,12,2026-08-08T04:36:48.039Z
BI-036,Billing & Invoicing,HMS-15,Backend,backend/tests/payments.routes.test.js,Payment Processing API > POST /api/payments/webhook,returns 404 for an unknown gateway reference,Pass,6,2026-08-08T04:36:48.039Z
BI-037,Billing & Invoicing,HMS-15,Backend,backend/tests/payments.routes.test.js,Payment Processing API > POST /api/payments/webhook,returns 400 for an invalid webhook payload,Pass,7,2026-08-08T04:36:48.039Z
BI-038,Billing & Invoicing,HMS-15,Backend,backend/tests/payments.routes.test.js,Payment Processing API > GET /api/payments?invoiceId=,"returns the full transaction log for an invoice, including failed attempts",Pass,12,2026-08-08T04:36:48.039Z
BI-039,Billing & Invoicing,HMS-15,Backend,backend/tests/payments.routes.test.js,Payment Processing API > GET /api/payments?invoiceId=,returns 400 when invoiceId query parameter is missing,Pass,12,2026-08-08T04:36:48.039Z
BI-040,Billing & Invoicing,HMS-15,Backend,backend/tests/paymentsService.test.js,paymentsService,throws InvoiceNotFoundError for an unknown invoice,Pass,9,2026-08-08T04:36:48.039Z
BI-041,Billing & Invoicing,HMS-15,Backend,backend/tests/paymentsService.test.js,paymentsService,"records a cash payment immediately without calling the gateway, and marks the invoice paid",Pass,3,2026-08-08T04:36:48.039Z
BI-042,Billing & Invoicing,HMS-15,Backend,backend/tests/paymentsService.test.js,paymentsService,processes a successful card payment on the first attempt and updates the invoice,Pass,6,2026-08-08T04:36:48.039Z
BI-043,Billing & Invoicing,HMS-15,Backend,backend/tests/paymentsService.test.js,paymentsService,retries a transient gateway timeout and succeeds on a later attempt,Pass,3,2026-08-08T04:36:48.039Z
BI-044,Billing & Invoicing,HMS-15,Backend,backend/tests/paymentsService.test.js,paymentsService,"exhausts retries on repeated timeouts, logs a failed payment, and leaves the invoice untouched",Pass,6,2026-08-08T04:36:48.039Z
BI-045,Billing & Invoicing,HMS-15,Backend,backend/tests/paymentsService.test.js,paymentsService,does not retry a non-retryable decline and reports it clearly,Pass,3,2026-08-08T04:36:48.039Z
BI-046,Billing & Invoicing,HMS-15,Backend,backend/tests/paymentsService.test.js,paymentsService,records a pending payment for an async gateway and leaves the invoice untouched until reconciled,Pass,3,2026-08-08T04:36:48.039Z
BI-047,Billing & Invoicing,HMS-15,Backend,backend/tests/paymentsService.test.js,paymentsService > reconcileWebhookPayment,applies a succeeded webhook to the invoice,Pass,4,2026-08-08T04:36:48.039Z
BI-048,Billing & Invoicing,HMS-15,Backend,backend/tests/paymentsService.test.js,paymentsService > reconcileWebhookPayment,marks a failed webhook without touching the invoice,Pass,3,2026-08-08T04:36:48.039Z
BI-049,Billing & Invoicing,HMS-15,Backend,backend/tests/paymentsService.test.js,paymentsService > reconcileWebhookPayment,throws PaymentNotFoundError for an unknown gateway reference,Pass,2,2026-08-08T04:36:48.039Z
BI-050,Billing & Invoicing,HMS-12,Frontend,frontend/src/components/InvoiceGeneration.test.jsx,InvoiceGeneration,updates totals live as line items and discount/tax change,Pass,197,2026-08-08T04:36:48.039Z
BI-051,Billing & Invoicing,HMS-12,Frontend,frontend/src/components/InvoiceGeneration.test.jsx,InvoiceGeneration,shows an error when generating without a selected patient,Pass,67,2026-08-08T04:36:48.039Z
BI-052,Billing & Invoicing,HMS-12,Frontend,frontend/src/components/InvoiceGeneration.test.jsx,InvoiceGeneration,shows an error when there are no valid line items,Pass,410,2026-08-08T04:36:48.039Z
BI-053,Billing & Invoicing,HMS-12,Frontend,frontend/src/components/InvoiceGeneration.test.jsx,InvoiceGeneration,"generates an invoice, sends an idempotencyKey, and shows the printable confirmation",Pass,423,2026-08-08T04:36:48.039Z
BI-054,Billing & Invoicing,HMS-12,Frontend,frontend/src/components/InvoiceGeneration.test.jsx,InvoiceGeneration,reuses the same idempotencyKey on a retry after a failed submission,Pass,422,2026-08-08T04:36:48.039Z
BI-055,Billing & Invoicing,HMS-12,Frontend,frontend/src/components/InvoiceGeneration.test.jsx,InvoiceGeneration,loads and displays past invoices once a patient is selected,Pass,365,2026-08-08T04:36:48.039Z
BI-056,Billing & Invoicing,HMS-12,Frontend,frontend/src/components/InvoiceList.test.jsx,InvoiceList,shows an empty message when there are no invoices,Pass,20,2026-08-08T04:36:48.039Z
BI-057,Billing & Invoicing,HMS-12,Frontend,frontend/src/components/InvoiceList.test.jsx,InvoiceList,"renders each invoice with date, department, totals, and a status badge",Pass,10,2026-08-08T04:36:48.039Z
BI-058,Billing & Invoicing,HMS-12,Frontend,frontend/src/components/InvoiceList.test.jsx,InvoiceList,falls back to an em dash when department is not set,Pass,5,2026-08-08T04:36:48.039Z
BI-059,Billing & Invoicing,HMS-12,Frontend,frontend/src/components/InvoiceList.test.jsx,InvoiceList,calls onSelectInvoice when an invoice link is clicked,Pass,68,2026-08-08T04:36:48.039Z
BI-060,Billing & Invoicing,HMS-12,Frontend,frontend/src/components/InvoiceList.test.jsx,InvoiceList,"renders invoice ids as plain text, not buttons, when onSelectInvoice is not provided",Pass,5,2026-08-08T04:36:48.039Z
BI-061,Billing & Invoicing,HMS-13,Frontend,frontend/src/components/PaymentDashboard.test.jsx,PaymentDashboard,loads invoices and shows outstanding/paid totals,Pass,79,2026-08-08T04:36:48.039Z
BI-062,Billing & Invoicing,HMS-13,Frontend,frontend/src/components/PaymentDashboard.test.jsx,PaymentDashboard,refetches with the selected status when the status filter changes,Pass,104,2026-08-08T04:36:48.039Z
BI-063,Billing & Invoicing,HMS-13,Frontend,frontend/src/components/PaymentDashboard.test.jsx,PaymentDashboard,shows a graceful error state when loading invoices fails,Pass,17,2026-08-08T04:36:48.039Z
BI-064,Billing & Invoicing,HMS-13,Frontend,frontend/src/components/PaymentDashboard.test.jsx,PaymentDashboard,opens an invoice detail view with its payment history,Pass,54,2026-08-08T04:36:48.039Z
BI-065,Billing & Invoicing,HMS-13,Frontend,frontend/src/components/PaymentDashboard.test.jsx,PaymentDashboard,"records a payment, updates the invoice detail, and refreshes the list",Pass,119,2026-08-08T04:36:48.039Z
BI-066,Billing & Invoicing,HMS-13,Frontend,frontend/src/components/PaymentDashboard.test.jsx,PaymentDashboard,rejects recording a payment of zero or less without calling the API,Pass,51,2026-08-08T04:36:48.039Z
BI-067,Billing & Invoicing,HMS-13,Frontend,frontend/src/components/PaymentDashboard.test.jsx,PaymentDashboard,returns to the list view from the detail view,Pass,79,2026-08-08T04:36:48.039Z
BI-068,Billing & Invoicing,HMS-13,Frontend,frontend/src/utils/billingSummary.test.js,summarizeInvoices,sums outstanding balance and amount paid across invoices,Pass,1,2026-08-08T04:36:48.039Z
BI-069,Billing & Invoicing,HMS-13,Frontend,frontend/src/utils/billingSummary.test.js,summarizeInvoices,counts an unpaid/partial balance as overdue once it is older than 30 days,Pass,0,2026-08-08T04:36:48.039Z
BI-070,Billing & Invoicing,HMS-13,Frontend,frontend/src/utils/billingSummary.test.js,summarizeInvoices,does not count a recent unpaid balance as overdue,Pass,0,2026-08-08T04:36:48.039Z
BI-071,Billing & Invoicing,HMS-13,Frontend,frontend/src/utils/billingSummary.test.js,summarizeInvoices,"never counts a fully paid invoice as overdue, regardless of age",Pass,0,2026-08-08T04:36:48.039Z
BI-072,Billing & Invoicing,HMS-13,Frontend,frontend/src/utils/billingSummary.test.js,summarizeInvoices,returns zero totals for an empty invoice list,Pass,1,2026-08-08T04:36:48.039Z
BI-073,Billing & Invoicing,HMS-12,Frontend,frontend/src/utils/invoiceCalculator.test.js,calculateInvoiceTotals,computes subtotal and total with no discount or tax,Pass,1,2026-08-08T04:36:48.039Z
BI-074,Billing & Invoicing,HMS-12,Frontend,frontend/src/utils/invoiceCalculator.test.js,calculateInvoiceTotals,applies tax to the post-discount amount,Pass,0,2026-08-08T04:36:48.039Z
BI-075,Billing & Invoicing,HMS-12,Frontend,frontend/src/utils/invoiceCalculator.test.js,calculateInvoiceTotals,"coerces string quantity/unitPrice values, tolerating in-progress form input",Pass,0,2026-08-08T04:36:48.039Z
BI-076,Billing & Invoicing,HMS-12,Frontend,frontend/src/utils/invoiceCalculator.test.js,calculateInvoiceTotals,treats blank/invalid numeric fields as zero rather than NaN,Pass,1,2026-08-08T04:36:48.039Z
BI-077,Billing & Invoicing,HMS-12,Frontend,frontend/src/utils/invoiceCalculator.test.js,calculateInvoiceTotals,returns zero totals for an empty line item list,Pass,0,2026-08-08T04:36:48.039Z
INF-001,Infrastructure,N/A,Backend,backend/tests/migrate.test.js,migrations,creates the patients table with all schema columns on migrateUp,Pass,11,2026-08-08T04:36:48.039Z
INF-002,Infrastructure,N/A,Backend,backend/tests/migrate.test.js,migrations,records applied migrations and is idempotent,Pass,2,2026-08-08T04:36:48.039Z
INF-003,Infrastructure,N/A,Backend,backend/tests/migrate.test.js,migrations,enforces NOT NULL constraints on required demographic and contact fields,Pass,2,2026-08-08T04:36:48.039Z
INF-004,Infrastructure,N/A,Backend,backend/tests/migrate.test.js,migrations,allows a fully-populated insert to succeed,Pass,1,2026-08-08T04:36:48.039Z
INF-005,Infrastructure,N/A,Backend,backend/tests/migrate.test.js,migrations,"reverses the migration on migrateDown, dropping the patients table",Pass,1,2026-08-08T04:36:48.039Z
INF-006,Infrastructure,N/A,Backend,backend/tests/migrate.test.js,migrations,returns null from migrateDown when there is nothing to roll back,Pass,1,2026-08-08T04:36:48.039Z
INF-007,Infrastructure,N/A,Backend,backend/tests/migrate.test.js,migrations,can be re-applied after a rollback,Pass,1,2026-08-08T04:36:48.039Z
INF-008,Infrastructure,N/A,Backend,backend/tests/migrations.index.test.js,full migration registry,applies every registered migration in order,Pass,9,2026-08-08T04:36:48.039Z
INF-009,Infrastructure,N/A,Backend,backend/tests/migrations.index.test.js,full migration registry,creates all scheduling tables with the expected columns,Pass,4,2026-08-08T04:36:48.039Z
INF-010,Infrastructure,N/A,Backend,backend/tests/migrations.index.test.js,full migration registry,"rolls migrations back newest-first, in reverse order",Pass,4,2026-08-08T04:36:48.039Z
PIPE-001,Pipeline,N/A,CI,backend (all files),Automated test suite,Backend unit/integration test suite passes,Pass,,2026-08-08T04:36:48.039Z
PIPE-002,Pipeline,N/A,CI,frontend (all files),Automated test suite,Frontend unit/component test suite passes,Pass,,2026-08-08T04:36:48.039Z
PIPE-003,Pipeline,N/A,CI,sonar-project.properties,SonarCloud,Quality gate is OK (SonarCloud gate: OK),Pass,,2026-08-08T04:36:48.039Z
